id,time,Lon,Lat,pH,DO,NH3N,CODMn
2156,2021-05-03 00:00,115.091033,37.319989,8.184167,6.109167,0.034167,5.776667
2156,2021-05-04 00:00,115.091033,37.319989,8.185833,5.829167,0.024167,5.845000
2156,2021-05-05 00:00,115.091033,37.319989,8.236667,5.720000,0.020000,5.928333
2156,2021-05-06 00:00,115.091033,37.319989,8.299167,5.396667,0.020000,5.981667
2156,2021-05-07 00:00,115.091033,37.319989,8.366667,6.500833,0.020000,5.984167
2156,2021-05-08 00:00,115.091033,37.319989,8.429167,9.241667,0.020000,6.073333
2156,2021-05-09 00:00,115.091033,37.319989,8.426667,10.056667,0.020000,6.262500
2156,2021-05-10 00:00,115.091033,37.319989,8.410000,9.652500,0.020000,6.565833
2156,2021-05-11 00:00,115.091033,37.319989,8.433333,10.546667,0.020000,6.801667
2156,2021-05-12 00:00,115.091033,37.319989,8.455833,13.318333,0.020000,6.760833
2156,2021-05-13 00:00,115.091033,37.319989,8.372500,13.013333,0.020000,6.585000
2156,2021-05-14 00:00,115.091033,37.319989,8.234167,9.834167,0.020000,6.574167
2156,2021-05-15 00:00,115.091033,37.319989,8.133333,6.537500,0.020000,6.818333
2156,2021-05-16 00:00,115.091033,37.319989,8.164167,6.194167,0.049167,7.065000
2156,2021-05-17 00:00,115.091033,37.319989,8.268333,9.693333,0.040833,7.472500
2156,2021-05-18 00:00,115.091033,37.319989,8.315833,15.545000,0.020000,7.990000
2156,2021-05-19 00:00,115.091033,37.319989,8.296667,16.253055,0.020000,8.143333
2156,2021-05-20 00:00,115.091033,37.319989,8.256667,12.709722,0.020000,8.063333
2156,2021-05-21 00:00,115.091033,37.319989,8.216667,9.166389,0.020000,7.983333
2156,2021-05-22 00:00,115.091033,37.319989,8.165000,6.517500,0.020000,7.728333
2156,2021-05-23 00:00,115.091033,37.319989,8.221667,6.432500,0.020000,7.418333
2156,2021-05-24 00:00,115.091033,37.319989,8.274167,6.357500,0.020000,7.228333
2156,2021-05-25 00:00,115.091033,37.319989,8.310833,6.235000,0.020000,7.321667
2156,2021-05-26 00:00,115.091033,37.319989,8.287500,5.375000,0.020000,7.482500
2156,2021-05-27 00:00,115.091033,37.319989,8.331667,5.591667,0.020000,7.741667
2156,2021-05-28 00:00,115.091033,37.319989,8.465833,7.052500,0.020000,6.850000
2156,2021-05-29 00:00,115.091033,37.319989,8.502500,7.572500,0.020000,7.383333
2156,2021-05-30 00:00,115.091033,37.319989,8.490000,8.149167,0.020000,8.060833
2156,2021-05-31 00:00,115.091033,37.319989,8.466667,7.969167,0.020000,7.820000
2156,2021-06-01 00:00,115.091033,37.319989,8.356667,6.221667,0.020000,7.659167
2156,2021-06-02 00:00,115.091033,37.319989,8.255000,4.370000,0.020000,7.550833
2156,2021-06-03 00:00,115.091033,37.319989,8.276667,4.560000,0.020000,7.104167
2156,2021-06-04 00:00,115.091033,37.319989,8.380000,5.860000,0.020000,6.817500
2156,2021-06-05 00:00,115.091033,37.319989,8.535000,8.419167,0.020000,7.133333
2156,2021-06-06 00:00,115.091033,37.319989,8.557500,8.262500,0.020000,6.790000
2156,2021-06-07 00:00,115.091033,37.319989,8.508333,6.610000,0.020000,6.996667
2156,2021-06-08 00:00,115.091033,37.319989,8.435833,6.563333,0.020000,7.260833
2156,2021-06-09 00:00,115.091033,37.319989,8.320000,7.433333,0.020000,7.087500
2156,2021-06-10 00:00,115.091033,37.319989,8.147500,6.400833,0.031667,7.090833
2156,2021-06-11 00:00,115.091033,37.319989,7.978333,4.647500,0.034167,6.466667
2156,2021-06-12 00:00,115.091033,37.319989,7.937500,4.632500,0.024167,5.883333
2156,2021-06-13 00:00,115.091033,37.319989,7.990833,6.002500,0.020000,5.811667
2156,2021-06-14 00:00,115.091033,37.319989,8.008333,5.550000,0.020000,5.936667
2156,2021-06-15 00:00,115.091033,37.319989,7.976667,7.091667,0.020000,6.160000
2156,2021-06-16 00:00,115.091033,37.319989,8.053333,7.802500,0.020000,5.933333
2156,2021-06-17 00:00,115.091033,37.319989,8.143333,8.198333,0.020000,5.600833
2156,2021-06-18 00:00,115.091033,37.319989,8.241667,8.785833,0.020000,5.547500
2156,2021-06-19 00:00,115.091033,37.319989,8.364167,8.832500,0.020000,5.904167
2156,2021-06-20 00:00,115.091033,37.319989,8.439167,10.854167,0.020000,6.225833
2156,2021-06-21 00:00,115.091033,37.319989,8.436667,11.231667,0.020000,6.239167
2156,2021-06-22 00:00,115.091033,37.319989,8.425833,10.155000,0.020000,6.204167
2156,2021-06-23 00:00,115.091033,37.319989,8.389167,8.468333,0.020000,6.217500
2156,2021-06-24 00:00,115.091033,37.319989,8.383333,8.416667,0.020000,6.247500
2156,2021-06-25 00:00,115.091033,37.319989,8.435000,10.640000,0.020000,6.318333
2156,2021-06-26 00:00,115.091033,37.319989,8.425000,10.176667,0.020000,6.412500
2156,2021-06-27 00:00,115.091033,37.319989,8.411667,10.162500,0.031667,6.543333
2156,2021-06-28 00:00,115.091033,37.319989,8.472500,12.379167,0.028333,7.286667
2156,2021-06-29 00:00,115.091033,37.319989,8.422500,10.477500,0.020000,7.787500
2156,2021-06-30 00:00,115.091033,37.319989,8.330833,7.660833,0.020000,7.473333
